From	Entry	Interacts with
P00533	P00533	P00519; P42684; Q15109; Q9UKV8; Q09666; O00170; Q02952; P31749; P49418; Q92625; P04083; P07355; Q10567; Q96CW1; O00213; Q92870; O95704; Q9UKG1; P49407; P32121; O14965; P30530; Q9UQB8; Q9BXH1; Q14457; P51451; P62158; P49069; Q03135; P51636; P22681; Q16543; P12830; P06493; P23528; Q9BZP6; Q9NSE2; Q7Z7G1; Q8IZV2; Q8WXI2; P46108; P46108-1; P46109; P41240; O60716; Q14247; Q7L591; Q6PKX4; P01133; P00533; Q6UW88; Q12929; P04626; P21860; Q15303; P07992; O14944; Q9UJM3; P03372; P03372-4; Q92731; Q96A65; P15311; Q9BXW9; P09769; Q13451; Q14318; Q13480; Q9UQC2; P60520; P47869; P04406; Q8NBJ4; P17174; Q14956; Q14956-1; O75791; Q13322; P62993; P25098; Q99075; P08631; Q9UBN7; Q8WUI4; P07900; P08238; Q6PK50; P08107; P34932; P11142; P38646; P17936; P46940; O14654; Q9NZM3; P14923; Q86VI4; O43561; Q13094; Q96FE5; Q96JA1; O94898; Q38SD2; P07948; P07948-1; Q9BRK4; Q12852; Q9UQF2; Q13387; Q9Y2H9; Q9NS73; P08581; P14174; P15941; P16333; P46934; P04150; Q16620; P49757; Q9Y6R0; Q13438; Q8WUM4; P16234; O00750; P27986; O00459; Q92569; P19174; P16885; P35813; P17252; Q05397; Q13882; P18031; Q06124; Q05209; Q9Y2R2; P18433; P23467; P08575; P23470; Q9HD43; Q9UJ41; P04049; Q70E73; P20936; Q13671; Q01973; Q92622; P26447; P61619; Q9UBV2; P31947; Q9NRF2; Q9UQQ2; Q9BRG2; O75368; Q99962; Q96B97; P29353; P29353-7; P98077; Q6S5L8; O75563; Q13239; P13866; Q07889; P12931; P42224; P40763; P42229; P51692; P31948; Q9UNE7; O43752; P43405; Q15750; Q9Y6A5; P01135; Q9Y490; O60603; Q9Y6Q6-2; Q68CZ2; Q8IZW8; O75674; Q12933; Q71U36; Q13885; P10599; P09936; Q8TEY7; Q9P0L0; Q9UPY6; P07947; P27348; P63104; P43403; Q53FC7; Q96BE0; P62161; P22682; P62994; Q9QZC5; P97313; P20417; Q80U62; P0DTC2; Q8K424
P00558	P00558	P04406; O15379; Q8TDX7; P12004; P07205; O15379
P00734	P00734	P05067; P07204; Q846V4; PRO_0000032489 [P01008]
P00747	P00747	P02749; Q3SYB3; PRO_0000018520 [P28300]; Q8N4S9; P75390; P75391; P75392; P75393; Q99SU7; P00779; Q6V4L1; Q6V4L4; Q6V4L5; Q6V4L9
P00748	P00748	P05067; Q07021; P13473-2
P00749	P00749	Q9UKQ2; P05067; Q03405-1; P05121; P55000
P00797	P00797	P01019
P00915	P00915	Q12800
P01031	P01031	Q68DC2; Q13520; Q03591; Q7Z7G2; Q96BA8; Q15125; P23276; Q8N743; Q8N4V1; O14524-2; O15173; P78424; Q8WWF3; Q91132
P01106	P01106	Q13085; Q92974; P16615; Q9UBB4; O15169; O00499-10; O00499-11; Q15059; P55212; P45973; Q8N163; P06307; A5D8W4; P11802; Q86XR8; P28329-3; Q14839; O15111; Q8TCG1; Q9Y678; P17812; Q9UHI6; Q9GZR7; Q01658; Q15029; Q96L91; Q96L91-2; Q969H0; Q8N3Y1; P22607; O43524; P49841-2; P06396; Q00403; Q9Y5Q9; Q92769; O15379; Q9NRZ9; P07910; Q9Y6K9; Q8TEX9; Q96P70; Q13576; O60341; O00629; P13473-2; P42704; Q3KQU3; P56192; P61244; O95983; P33993; Q8N6R0; A9UHW6; Q96T76; P52701; Q9BQG0; P01106; O00567; Q8WUM0; Q8N1F7; O60313; Q9NTI5; O75928; Q13526; Q07864; P30876; O75400-2; O94906; P35249; P62913; Q9Y371; O75182; Q96EB6; Q8N6T7; Q13309; P51532; Q92922; O95347; Q9NTJ3; Q8TAD8; O75643; P08047; P31948; Q13148; P37173; P11387; Q13263; Q14669; Q9Y4A5; P0CG48; Q9UMX0; P17480; P61964; Q9HAV4; Q13105; Q9Y649; P03126; P03129; P04020; P06788; P03204; P52164; Q62141; P03070
P01375	P01375	P05067; Q92482; Q9BXK5; Q6UXG8-3; Q8IYJ2-2; Q8WV48; Q6NSX1; O95471; Q8IUN9; Q96BA8; P00387; Q5JX71; O15552; Q8TBE3; Q9Y6K9; Q8N6L0; Q8N386; O43300; Q9HC36; O75459; Q96RD7; Q8N4L2; Q53GL0; Q6ZMZ0; P31949; P80511; Q99584; Q16585; Q15849; O14863; Q8WWF3; P27105; Q16623; O15393-2; P01375; P19438; P20333; Q9H7M9; Q96S55; Q6PEW1; Q9DHW0; O89110; Q8UYL3; O88351; Q60855; Q60769; P25118; Q3U0V2
P02144	P02144	O00230
P02753	P02753	Q9UBX0; P02766; O55245
P02766	P02766	Q15109; P05067; PRO_0000000092 [P05067]; Q9NP61; Q9Y575-3; P18848; Q9Y2D1; P15313; Q0VDD7; Q8N163; Q01850; Q494V2-2; Q9Y3D0; Q9Y240; Q6PJW8-3; Q96MW5; Q9UNS2; Q6NXG1; Q49AJ0-4; Q9UHY8; Q7Z602; P68431; Q14642; Q86U28; Q96SI1-2; Q06136; Q12756; Q9Y2M5; Q8N6F8; P41218; P25713; Q16718; Q7Z6G3-2; Q8NFH3; Q96FW1; Q6GQQ9-2; O75781-2; Q8N3R9; P27986-2; P11908; Q8WUY3; P02753; Q96D59; Q9C004; Q8IXS7; Q8NBJ7; Q8WUA7-2; Q13569; P21980-2; A0AVI4-2; P02766; Q969T4; O95164; Q8IWV7; P45880; P58304; Q9BRX9; Q2QGD7; Q86V28
